
                       be used for evaluation purposes
 5-Apr-2019 16:27
                       _______________________________

                       P E A K     F I T     R E P O R T
                       _______________________________

 Spectrum file Analysed: BE20190206_Ba133_30cm_room131.Ch 
 Sample Title : Cs137                                            

 Spectrum saved on  6-Feb-2019 at 14:56    Collected on  6-Feb-2019 at 11:06
 Sample  Taken  on  6-Feb-2019 at 11:06    Decayed      0 Days,     0 mins.

            Detector file number used:     1
            Energy     Calibration Performed on  7-Mar-2019 at 14:38
            Peak Shape Calibration Performed on  7-Mar-2019 at 14:40

 

   Datetime:   6-Feb-2019  11:06
   Live:      10121.0 
   Mass:      
   Shelf:     
   Detector:      1


   Reported Activity values were rounded     
   FitzPeaks Version: 3.71 23rd January 2014           

 Peak   Centre   FW@HM         Goodness   Peak      %      Gammas       %      2 Sigma
Energy  Channel  (KeV)  Signif  of Fit    Area   Uncert.  per sec.   Uncert. Background

   53.0   282.6   0.86    33.4    0.94     10462    3.5   1.0337e+00    3.5     7536
   72.7   387.4   0.94    23.8    1.81     10146    5.4   1.0025e+00    5.4    17224
   74.9   399.0   0.95    36.3    1.81     18486    2.9   1.8265e+00    2.9    19138
   79.5   423.5   0.93    11.3    0.92     11291   13.0   1.1156e+00   13.0     6621
   80.9   431.1   0.93   143.5    0.92    165674    1.0   1.6369e+01    1.0     7356
   84.7   451.3   1.13!   18.5    1.28      8201    3.9   8.1034e-01    3.9     5450
   87.3   464.9   1.13!    9.0    1.28      2590   11.2   2.5587e-01   11.2     5450
   92.7   493.6   0.99     3.3    1.17       474   47.2   4.6863e-02   47.2     4888
  160.7   855.5   1.03    12.1    0.45      2646    9.0   2.6146e-01    9.0     5860
  223.4  1189.1   1.14     8.5    0.39      1590   12.2   1.5707e-01   12.2     4301
  238.8  1271.1   1.16     4.4    0.96       527   33.8   5.2034e-02   33.8     3466
  276.6  1472.5   1.20    50.0    0.95     20922    1.5   2.0672e+00    1.5     1988
  295.6  1573.5   1.23     3.6    1.15       331   41.1   3.2730e-02   41.1     2008
  303.1  1613.4   1.22    77.7    1.51     49542    1.0   4.8950e+00    1.0     1571
  338.8  1803.5   1.28     3.6    0.85       157   50.6   1.5511e-02   50.6      663
  352.2  1874.9   1.28     6.1    3.89       580   17.0   5.7343e-02   17.0      395
  356.3  1896.6   1.29   135.9    3.89    147522    0.7   1.4576e+01    0.7      428
  384.2  2044.9   1.32    51.6    0.79     20170    1.2   1.9929e+00    1.2      244
  387.0  2060.1   1.33     4.0    0.79       391   18.1   3.8623e-02   18.1      244
  437.3  2327.9   1.39     3.6    1.06       124   41.8   1.2227e-02   41.8      198
  511.4  2722.2   2.96     5.1    1.35       741   12.1   7.3202e-02   12.1      235
  583.7  3106.9   1.57     6.6    1.21       312   16.4   3.0862e-02   16.4      117
  609.8  3245.6   1.60     7.6    1.00       610    9.7   6.0239e-02    9.7      115
  911.7  4852.7   1.95     5.1    1.12       213   19.0   2.1043e-02   19.0       70
  969.7  5161.5   2.02     5.2    1.72       105   36.9   1.0358e-02   36.9       75
 1121.0  5966.4   2.20     3.9    1.15       186   20.1   1.8339e-02   20.1       53
 1378.8  7338.8   2.50     3.6    0.85        66   39.8   6.5538e-03   39.8       34
 1461.7  7779.8   2.61    12.7    0.87      1327    5.4   1.3114e-01    5.4       22
 1765.6  9397.2   2.95     3.4    0.78       142   21.2   1.4039e-02   21.2       19
 2204.9 11735.5   3.47     3.4    0.79        48   51.1   4.7156e-03   51.1       12
 2616.4 13925.4   3.95     6.4    0.57       250   14.8   2.4708e-02   14.8       10

 ! indicates the Iterative Peak Width fitting reached a limiting value.
