
                       be used for evaluation purposes
 5-Apr-2019 16:30
                       _______________________________

                       P E A K     F I T     R E P O R T
                       _______________________________

 Spectrum file Analysed: BH20190207_Ba133_40cm_room131.Ch 
 Sample Title : Cs137                                            

 Spectrum saved on  7-Feb-2019 at 18:26    Collected on  7-Feb-2019 at 10:41
 Sample  Taken  on  7-Feb-2019 at 10:41    Decayed      0 Days,     0 mins.

            Detector file number used:     1
            Energy     Calibration Performed on  7-Mar-2019 at 14:38
            Peak Shape Calibration Performed on  7-Mar-2019 at 14:40

 

   Datetime:   7-Feb-2019  10:41
   Live:      24206.0 
   Mass:      
   Shelf:     
   Detector:      1


   Reported Activity values were rounded     
   FitzPeaks Version: 3.71 23rd January 2014           

 Peak   Centre   FW@HM         Goodness   Peak      %      Gammas       %      2 Sigma
Energy  Channel  (KeV)  Signif  of Fit    Area   Uncert.  per sec.   Uncert. Background

   53.0   282.5   0.89    36.0    1.32     14374    3.2   5.9382e-01    3.2    11062
   72.7   387.3   0.92    29.8    1.29     14637    4.0   6.0467e-01    4.0    23824
   74.9   398.8   0.92    45.2    1.29     26655    2.5   1.1012e+00    2.5    23824
   79.5   423.3   0.92     6.9    2.90     15757    4.6   6.5095e-01    4.6    16527
   80.9   431.0   0.92   166.3    2.90    219915    0.5   9.0851e+00    0.5    18364
   84.7   451.1   1.10    23.9    1.35     11682    3.8   4.8261e-01    3.8     9546
   87.3   465.0   1.11    11.4    1.35      3640   10.6   1.5038e-01   10.6     9546
   92.7   493.5   0.99     4.0    1.24       937   32.6   3.8699e-02   32.6     7625
  160.7   855.4   0.99    14.1    0.96      3584    8.8   1.4805e-01    8.8     8250
  185.8   989.0   1.10     4.3    0.80       957   28.6   3.9540e-02   28.6     7813
  223.3  1188.8   1.13    10.1    0.90      2193   11.6   9.0591e-02   11.6     6118
  238.7  1270.7   1.16     7.8    1.77      1248   19.2   5.1545e-02   19.2     5096
  276.5  1472.0   1.19    58.3    0.75     29192    1.3   1.2060e+00    1.3     3612
  295.3  1572.2   1.23     6.6    1.34       707   25.3   2.9219e-02   25.3     2901
  303.0  1613.0   1.22    88.5    2.52     68120    0.9   2.8142e+00    0.9     2849
  338.4  1801.6   1.28     3.6    0.86       313   39.7   1.2910e-02   39.7     1669
  352.1  1874.3   1.28    10.9    3.95      1486    9.7   6.1400e-02    9.7      962
  356.2  1896.0   1.28   158.9    3.95    203699    0.6   8.4152e+00    0.6      888
  384.0  2044.2   1.31    58.7    1.15     27214    1.3   1.1243e+00    1.3      588
  387.0  2059.8   1.32     4.3    1.15       294   33.6   1.2149e-02   33.6      588
  511.2  2721.2   2.96     4.8    1.43      1647    8.7   6.8055e-02    8.7      670
  583.5  3105.7   1.57     7.3    0.90       694   10.7   2.8684e-02   10.7      298
  609.6  3244.6   1.63    13.1    0.94      1407    6.5   5.8124e-02    6.5      279
  727.6  3873.0   1.73     3.4    0.85       175   32.1   7.2304e-03   32.1      214
  768.7  4091.6   1.78     3.8    1.01       161   34.6   6.6415e-03   34.6      212
  860.8  4581.5   1.89     3.3    1.11        97   55.6   4.0054e-03   55.6      222
  911.5  4851.3   1.95     6.6    0.86       554   11.7   2.2897e-02   11.7      180
  969.2  5158.9   2.02     4.9    0.85       269   22.6   1.1107e-02   22.6      232
 1120.7  5964.8   2.20     6.2    1.02       375   16.3   1.5501e-02   16.3      171
 1238.2  6590.6   2.33     3.5    0.92       128   42.2   5.3082e-03   42.2      178
 1378.3  7336.1   2.50     3.7    1.06       149   28.6   6.1560e-03   28.6       79
 1461.2  7777.0   2.55    19.3    1.08      3184    3.7   1.3155e-01    3.7       81
 1730.9  9212.4   2.91     3.5    0.87        56   49.8   2.2995e-03   49.8       39
 1765.1  9394.6   2.95     6.4    1.04       361   11.9   1.4926e-02   11.9       31
 1848.0  9835.7   3.05     3.4    0.97        52   54.8   2.1577e-03   54.8       40
 2205.0 11736.2   3.47     3.8    0.70       102   30.0   4.2105e-03   30.0       32
 2615.1 13918.7   3.95     7.8    0.80       566    9.0   2.3391e-02    9.0        9
