
                       be used for evaluation purposes
 5-Apr-2019 16:34
                       _______________________________

                       P E A K     F I T     R E P O R T
                       _______________________________

 Spectrum file Analysed: BK20190208_Ba133_50cm_room131.Ch 
 Sample Title : Cs137                                            

 Spectrum saved on  8-Feb-2019 at 10:57    Collected on  7-Feb-2019 at 17:29
 Sample  Taken  on  7-Feb-2019 at 17:29    Decayed      0 Days,     0 mins.

            Detector file number used:     1
            Energy     Calibration Performed on  7-Mar-2019 at 14:38
            Peak Shape Calibration Performed on  7-Mar-2019 at 14:40

 

   Datetime:   7-Feb-2019  17:29
   Live:      59183.0 
   Mass:      
   Shelf:     
   Detector:      1


   Reported Activity values were rounded     
   FitzPeaks Version: 3.71 23rd January 2014           

 Peak   Centre   FW@HM         Goodness   Peak      %      Gammas       %      2 Sigma
Energy  Channel  (KeV)  Signif  of Fit    Area   Uncert.  per sec.   Uncert. Background

   53.0   282.5   0.90    45.8    1.94     23489    2.6   3.9689e-01    2.6    17965
   72.7   387.3   0.92    40.7    1.38     26469    3.0   4.4725e-01    3.0    38312
   74.9   398.8   0.92    63.5    1.38     46610    1.8   7.8756e-01    1.8    38312
   79.5   423.3   0.93    10.9    4.54     31630    3.3   5.3444e-01    3.3    25878
   80.9   430.9   0.93   206.9    4.54    352123    0.5   5.9497e+00    0.5    28754
   84.7   451.0   1.13!   27.1    1.70     20404    3.2   3.4477e-01    3.2    20108
   87.3   464.9   1.13!   13.1    1.70      6399    8.5   1.0812e-01    8.5    20108
   92.5   492.8   0.99     5.7    1.27      2323   17.9   3.9249e-02   17.9    16608
  160.6   855.2   1.04    15.8    0.90      5745    7.1   9.7073e-02    7.1    14754
  185.8   989.1   1.10     5.3    0.60      1749   20.9   2.9558e-02   20.9    13940
  223.3  1188.7   1.09    12.5    1.05      3380    9.2   5.7111e-02    9.2    10597
  238.7  1270.8   1.14    11.6    0.98      3258    8.4   5.5057e-02    8.4     8567
  242.2  1289.5   1.14     3.5    0.98       691   38.0   1.1681e-02   38.0     8567
  276.5  1471.9   1.19    74.3    1.00     45791    1.2   7.7371e-01    1.2     6342
  295.3  1571.9   1.23     8.8    0.98      1779   12.7   3.0063e-02   12.7     5146
  303.0  1612.7   1.21   116.6    1.89    108460    0.6   1.8326e+00    0.6     4630
  338.4  1801.2   1.28     5.4    0.62       665   30.6   1.1233e-02   30.6     4441
  352.0  1873.9   1.28    16.5    6.29      3448    6.6   5.8255e-02    6.6     2044
  356.1  1895.7   1.28   198.0    6.29    322743    0.7   5.4533e+00    0.7     2214
  384.0  2044.0   1.32    74.3    1.49     43217    1.0   7.3023e-01    1.0     1393
  463.0  2464.7   1.42     3.7    0.79       278   35.9   4.7026e-03   35.9      975
  511.1  2720.5   2.96     8.6    1.50      4121    5.6   6.9634e-02    5.6     1597
  583.4  3105.1   1.59    12.3    0.79      1749    6.7   2.9552e-02    6.7      787
  609.5  3244.1   1.66    17.8    0.99      3538    4.0   5.9774e-02    4.0      701
  727.3  3871.4   1.73     4.3    1.00       413   22.1   6.9705e-03   22.1      570
  768.4  4090.2   1.78     3.8    1.27       294   31.1   4.9739e-03   31.1      571
  785.9  4183.1   1.80     3.3    1.07       128   50.3   2.1670e-03   50.3      523
  795.2  4232.5   1.81     3.4    1.07       227   30.1   3.8297e-03   30.1      494
  860.4  4579.5   1.89     3.5    1.02       138   59.1   2.3336e-03   59.1      505
  911.4  4850.9   1.93    11.5    1.17      1367    8.3   2.3095e-02    8.3      457
  934.4  4973.5   1.98     3.3    1.00       175   43.6   2.9565e-03   43.6      432
  969.3  5159.1   1.72!   10.3    1.09       657   13.9   1.1098e-02   13.9      451
 1001.4  5330.1   2.06     3.6    0.96       172   43.9   2.9146e-03   43.9      411
 1120.5  5963.9   2.20     8.5    1.25       906   10.9   1.5314e-02   10.9      442
 1155.4  6149.5   2.24     3.6    0.81       132   55.4   2.2306e-03   55.4      386
 1238.4  6591.5   2.33     4.3    0.64       365   23.1   6.1659e-03   23.1      481
 1378.0  7334.7   2.50     4.6    0.67       223   28.8   3.7627e-03   28.8      235
 1402.1  7462.6   2.53     3.4    0.90        94   56.7   1.5933e-03   56.7      211
 1408.0  7494.1   2.53     3.4    0.90       162   34.9   2.7443e-03   34.9      211
 1461.0  7776.3   2.64    28.0    0.96      7716    2.2   1.3037e-01    2.2      185
 1509.4  8033.9   2.65     3.7    0.91       149   35.7   2.5100e-03   35.7      162
 1621.0  8627.9   2.78     3.6    1.02       111   36.6   1.8713e-03   36.6      119
 1630.7  8679.5   2.80     3.4    1.02        69   58.6   1.1653e-03   58.6      124
 1729.5  9205.0   2.91     3.3    1.10       152   31.7   2.5635e-03   31.7      104
 1764.8  9393.1   2.95     9.9    1.10       912    8.0   1.5411e-02    8.0      114
 2104.0 11198.6   3.35     3.4    1.05       124   30.2   2.0914e-03   30.2       85
 2119.0 11278.0   3.37     3.6    1.05        68   49.8   1.1552e-03   49.8       88
 2204.3 11732.1   3.47     6.0    1.07       259   19.2   4.3757e-03   19.2       81
 2614.6 13916.2   4.20    11.5    1.01      1347    5.9   2.2752e-02    5.9       45

 ! indicates the Iterative Peak Width fitting reached a limiting value.
