
                       be used for evaluation purposes
 5-Apr-2019 16:38
                       _______________________________

                       P E A K     F I T     R E P O R T
                       _______________________________

 Spectrum file Analysed: BN20190205_Ba133_60cm_room131.Ch 
 Sample Title : Cs137                                            

 Spectrum saved on  5-Feb-2019 at 11:24    Collected on  4-Feb-2019 at 16:55
 Sample  Taken  on  4-Feb-2019 at 16:55    Decayed      0 Days,     0 mins.

            Detector file number used:     1
            Energy     Calibration Performed on  7-Mar-2019 at 14:38
            Peak Shape Calibration Performed on  7-Mar-2019 at 14:40

 

   Datetime:   4-Feb-2019  16:55
   Live:      62597.0 
   Mass:      
   Shelf:     
   Detector:      1


   Reported Activity values were rounded     
   FitzPeaks Version: 3.71 23rd January 2014           

 Peak   Centre   FW@HM         Goodness   Peak      %      Gammas       %      2 Sigma
Energy  Channel  (KeV)  Signif  of Fit    Area   Uncert.  per sec.   Uncert. Background

   53.0   282.4   0.90    37.0    0.72     17308    2.8   2.7649e-01    2.8    14321
   63.1   336.2   0.95     6.2    1.72      2007   49.9   3.2066e-02   49.9    24361
   72.7   387.3   0.94    36.2    1.89     23514    3.2   3.7564e-01    3.2    29424
   74.9   398.8   0.94    57.4    1.89     41000    1.9   6.5499e-01    1.9    32693
   79.5   423.4   0.94     7.0    4.20     23997    3.6   3.8336e-01    3.6    20149
   80.9   430.9   0.94   174.7    4.20    261811    0.6   4.1825e+00    0.6    22388
   84.7   451.2   1.13!   24.0    1.56     16971    3.4   2.7111e-01    3.4    17012
   87.3   465.0   1.13!   12.0    1.56      5582    9.3   8.9175e-02    9.3    18558
   92.6   493.0   0.99     5.7    0.70      2318   16.8   3.7031e-02   16.8    15234
  160.7   855.3   0.98    13.5    1.39      4124    9.4   6.5888e-02    9.4    12490
  185.9   989.9   1.10     6.6    1.11      2239   15.5   3.5770e-02   15.5    11430
  223.4  1189.1   1.04    11.2    0.70      2434   11.2   3.8888e-02   11.2     7955
  238.8  1271.1   1.09    12.5    1.08      3050    8.3   4.8727e-02    8.3     6493
  242.1  1288.8   1.10     3.6    1.08       615   37.8   9.8310e-03   37.8     7142
  276.6  1472.3   1.20    61.0    1.59     34140    1.4   5.4540e-01    1.4     5228
  295.4  1572.5   1.23     8.3    1.19      1816   12.3   2.9006e-02   12.3     4946
  303.1  1613.3   1.23    96.0    2.90     80716    0.8   1.2895e+00    0.8     3898
  338.4  1801.3   1.28     4.4    0.80       846   23.9   1.3515e-02   23.9     4379
  352.2  1874.6   1.28    16.0    5.17      3382    6.7   5.4024e-02    6.7     2206
  356.3  1896.5   1.29   168.4    5.17    240626    0.8   3.8440e+00    0.8     2206
  384.1  2044.7   1.31    63.2    2.41     32599    1.2   5.2078e-01    1.2     1470
  463.4  2466.5   1.42     4.0    0.65       311   33.2   4.9743e-03   33.2      982
  511.3  2721.6   2.96     7.3    2.02      4665    5.1   7.4524e-02    5.1     1690
  583.6  3106.6   1.54    13.4    1.18      1804    7.0   2.8826e-02    7.0      789
  609.8  3245.6   1.63    18.7    0.73      3649    4.0   5.8289e-02    4.0      719
  727.8  3874.1   1.73     6.5    1.02       409   23.0   6.5339e-03   23.0      594
  768.8  4091.8   1.78     4.7    1.07       406   23.0   6.4829e-03   23.0      609
  795.4  4233.4   1.81     3.6    0.89       253   32.6   4.0494e-03   32.6      514
  861.4  4584.8   1.89     3.3    1.42       239   36.7   3.8113e-03   36.7      514
  911.8  4853.0   1.97    12.0    0.75      1449    7.1   2.3147e-02    7.1      452
  934.7  4975.3   1.98     3.9    1.16       261   30.3   4.1691e-03   30.3      430
  965.5  5138.8   1.80     6.2    1.04       304   24.7   4.8525e-03   24.7      404
  969.6  5160.8   1.80    10.4    1.04       810   10.9   1.2934e-02   10.9      404
 1001.6  5331.3   2.06     3.5    0.74       147   52.4   2.3456e-03   52.4      438
 1121.0  5966.4   2.20     8.5    1.02      1035    9.9   1.6533e-02    9.9      482
 1238.8  6593.8   2.34     5.5    0.78       439   19.8   7.0176e-03   19.8      478
 1281.5  6821.0   2.39     3.4    0.87       134   52.3   2.1394e-03   52.3      344
 1378.7  7338.0   2.50     5.1    1.03       264   25.6   4.2102e-03   25.6      246
 1402.1  7462.5   2.53     3.3    0.89        99   54.3   1.5810e-03   54.3      226
 1408.7  7497.9   2.53     3.4    0.89       129   44.5   2.0560e-03   44.5      236
 1461.7  7779.9   2.56    29.1    0.86      8066    2.1   1.2886e-01    2.1      179
 1510.3  8038.5   2.65     3.5    0.92       115   46.7   1.8446e-03   46.7      176
 1620.9  8627.4   2.78     3.4    1.04        75   56.5   1.1983e-03   56.5      142
 1631.9  8686.0   2.80     3.5    1.04        84   50.3   1.3367e-03   50.3      142
 1730.6  9211.1   2.91     4.1    1.17       218   23.0   3.4850e-03   23.0      103
 1765.5  9396.9   2.96    10.2    1.06       964    7.7   1.5400e-02    7.7      110
 1848.6  9838.9   3.05     4.9    1.01       103   43.6   1.6467e-03   43.6      106
 2104.7 11202.0   3.35     3.4    0.93       157   23.7   2.5157e-03   23.7       86
 2119.5 11280.9   3.37     3.5    0.93        68   49.6   1.0901e-03   49.6       86
 2205.6 11739.2   3.47     5.3    1.13       302   17.2   4.8227e-03   17.2       89
 2449.4 13036.9   3.76     3.4    1.01        91   41.4   1.4500e-03   41.4       65
 2616.0 13923.3   3.86    13.4    1.06      1409    5.7   2.2507e-02    5.7       45

 ! indicates the Iterative Peak Width fitting reached a limiting value.
