
                       be used for evaluation purposes
12-Jul-2019 19:50
                       _______________________________

                       P E A K     F I T     R E P O R T
                       _______________________________

 Spectrum file Analysed: AA02262019_Al-1_18cm_room131.Chn 
 Sample Title : Al-1, p-18                                       

 Spectrum saved on 26-Feb-2019 at 15:04    Collected on 26-Feb-2019 at  4:59
 Sample  Taken  on 26-Feb-2019 at  4:59    Decayed      0 Days,     0 mins.

            Detector file number used:     1
            Energy     Calibration Performed on 12-Jul-2019 at 17:02
            Peak Shape Calibration Performed on 12-Jul-2019 at 17:38

 

   Datetime:  26-Feb-2019   4:59
   Live:       226.00 
   Mass:      
   Shelf:     
   Detector:      1


   Reported Activity values were rounded     
   FitzPeaks Version: 3.71 23rd January 2014           

 Peak   Centre   FW@HM         Goodness   Peak      %      Gammas       %      2 Sigma
Energy  Channel  (KeV)  Signif  of Fit    Area   Uncert.  per sec.   Uncert. Background

   72.5   386.4   1.14!   16.2    2.78      5524   14.9   2.4444e+01   14.9     8153
   74.7   397.9   1.14!   23.0    2.78     10995    7.6   4.8650e+01    7.6     8894
   84.6   450.4   1.15!   10.2    0.98      4449   10.6   1.9687e+01   10.6     6045
   87.0   463.4   1.16!    4.9    0.98      1347   33.1   5.9624e+00   33.1     6045
  511.5  2722.7   3.11    14.4    1.81     33560    1.4   1.4850e+02    1.4     3661
  514.8  2740.4   1.68!    6.3    1.81      1079   17.8   4.7739e+00   17.8     2146
  844.5  4495.1   1.77     3.9    1.29       848   16.8   3.7502e+00   16.8     1513
  847.5  4510.8   1.78     7.7    1.29      1723    9.2   7.6237e+00    9.2     1513
  858.5  4569.4   1.79     3.5    1.17       356   38.9   1.5759e+00   38.9     1465
  932.2  4961.9   1.86     3.5    0.81       411   33.4   1.8177e+00   33.4     1617
 1015.2  5403.4   1.95     3.5    0.90       372   42.4   1.6443e+00   42.4     2010
 1369.8  7290.8   2.55    83.3    4.09     95054    0.9   4.2059e+02    0.9     1114
 1371.7  7301.1   2.56     7.4    4.09     11613    3.9   5.1384e+01    3.9     1114
 1435.6  7641.1   2.37     3.3    0.95       179   50.6   7.9160e-01   50.6      590
 1733.4  9225.9   3.07!   13.2    1.74      5524    3.7   2.4443e+01    3.7      760
 1812.6  9647.7   2.76     3.5    1.07       256   43.9   1.1332e+00   43.9      847
 2244.5 11946.3   3.05    16.8    1.15      6463    3.8   2.8596e+01    3.8     1193
 2246.9 11959.1   3.06     6.6    1.15      2973    7.2   1.3153e+01    7.2     1152
 2756.9 14673.1   3.16!   68.2   18.13     51581    1.4   2.2824e+02    1.4      -76
 2759.5 14687.0   3.16!   13.5   18.13      5788    4.9   2.5612e+01    4.9      -76
 2762.8 14704.9   3.17!    7.8   18.13       363   32.3   1.6071e+00   32.3      -76
 3027.7 16114.5   3.99     3.3    0.86        63   48.3   2.7723e-01   48.3       42

 ! indicates the Iterative Peak Width fitting reached a limiting value.
