
                       be used for evaluation purposes
12-Jul-2019 20:38
                       _______________________________

                       P E A K     F I T     R E P O R T
                       _______________________________

 Spectrum file Analysed: AL02282019_Fe-02_10cm_room131.Ch 
 Sample Title : Fe-02-L, p-10                                    

 Spectrum saved on 28-Feb-2019 at 20:16    Collected on 28-Feb-2019 at  9:14
 Sample  Taken  on 28-Feb-2019 at  9:14    Decayed      0 Days,     0 mins.

            Detector file number used:     1
            Energy     Calibration Performed on 12-Jul-2019 at 17:02
            Peak Shape Calibration Performed on 12-Jul-2019 at 17:38

 

   Datetime:  28-Feb-2019   9:14
   Live:      3640.00 
   Mass:      
   Shelf:     
   Detector:      1


   Reported Activity values were rounded     
   FitzPeaks Version: 3.71 23rd January 2014           

 Peak   Centre   FW@HM         Goodness   Peak      %      Gammas       %      2 Sigma
Energy  Channel  (KeV)  Signif  of Fit    Area   Uncert.  per sec.   Uncert. Background

   72.8   387.6   0.97    25.0    1.18      8024    4.0   2.2043e+00    4.0     6677
   75.0   399.2   0.97    40.2    1.18     14444    2.5   3.9683e+00    2.5     6677
   84.8   451.6   1.03    17.7    1.24      6084    4.4   1.6713e+00    4.4     6754
   87.4   465.3   1.03     8.6    1.24      1773   12.4   4.8715e-01   12.4     6140
   92.0   490.0   1.03    19.5    1.24      4788    5.4   1.3153e+00    5.4     6140
  122.2   650.5   1.00    41.5    1.09     16158    2.3   4.4389e+00    2.3     6862
  136.5   727.0   1.06     8.4    1.26      2010   13.7   5.5233e-01   13.7     6244
  159.6   849.5   0.96    11.3    0.75      2404   10.6   6.6035e-01   10.6     5686
  271.6  1445.7   1.19     5.3    1.10      1294   21.0   3.5540e-01   21.0     7476
  320.4  1705.8   1.24     9.1    1.26      2040   14.6   5.6034e-01   14.6     8041
  385.7  2053.3   1.31     4.4    0.97       804   24.7   2.2094e-01   24.7     3889
  411.9  2192.6   1.36    10.2    0.98      1825   10.5   5.0125e-01   10.5     2977
  477.8  2543.4   1.43    54.7    1.11     27595    1.4   7.5811e+00    1.4     2773
  508.5  2706.7   1.30     7.6    2.74      2498   10.6   6.8631e-01   10.6     2788
  511.6  2723.2   2.74    59.5    2.74    320294    0.4   8.7993e+01    0.4     5576
  514.9  2740.7   1.31     7.7    2.74      1974   11.5   5.4240e-01   11.5     2788
  520.5  2770.6   1.31     7.0    2.74      1194   15.3   3.2789e-01   15.3     2788
  745.1  3965.7   1.72    33.9    1.20     11359    2.4   3.1206e+00    2.4     2088
  804.6  4282.7   1.73     8.4    1.08      1591    8.7   4.3722e-01    8.7     1545
  811.7  4320.4   1.74     4.1    1.08       685   18.0   1.8820e-01   18.0     1545
  835.8  4448.7   1.80    13.3    0.54      2326    6.4   6.3895e-01    6.4     1338
  847.8  4512.3   1.89    74.6    2.03     56976    1.0   1.5653e+01    1.0     1223
  932.3  4962.5   1.96    78.7    1.75     57795    0.9   1.5878e+01    0.9     1189
  936.6  4985.1   1.96    30.7    1.75     10218    2.1   2.8071e+00    2.1     1126
  945.3  5031.4   1.97     3.6    1.75       337   36.3   9.2590e-02   36.3     1189
  978.4  5207.8   1.95     6.2    1.03       677   18.7   1.8591e-01   18.7     1393
  984.7  5241.3   1.96    18.7    1.03      4113    4.4   1.1300e+00    4.4     1393
 1039.0  5530.2   2.03    25.4    0.95      7308    2.7   2.0078e+00    2.7     1173
 1158.3  6165.2   2.09     5.5    0.75       433   25.1   1.1893e-01   25.1      884
 1176.5  6262.1   2.11     7.1    0.78       897   13.1   2.4654e-01   13.1      871
 1239.7  6598.2   2.23    52.6    1.36     27995    1.2   7.6909e+00    1.2      486
 1247.7  6641.0   2.24     4.1    1.36       365   25.8   1.0020e-01   25.8      510
 1261.4  6714.0   2.20     3.4    0.88       165   48.6   4.5385e-02   48.6      454
 1313.6  6991.6   2.26    15.2    0.87      2925    4.1   8.0353e-01    4.1      329
 1318.0  7015.1   2.26    18.0    0.87      4048    3.5   1.1122e+00    3.5      345
 1335.2  7106.5   2.27     5.2    1.04       447   16.7   1.2272e-01   16.7      279
 1361.7  7247.4   2.41    12.6    1.16      1739    5.7   4.7766e-01    5.7      268
 1371.2  7298.4   2.42    11.4    1.16      2015    5.2   5.5353e-01    5.2      268
 1410.1  7505.3   2.33    27.1    1.77      9019    2.2   2.4777e+00    2.2      224
 1435.7  7641.6   2.33    28.0    1.53      7545    2.2   2.0729e+00    2.2      279
 1443.9  7685.0   2.33     4.0    1.53       589   15.2   1.6174e-01   15.2      279
 1577.7  8397.1   2.52     3.6    0.93       308   22.7   8.4630e-02   22.7      261
 1773.4  9438.6   2.56    20.9    1.55      4893    3.4   1.3442e+00    3.4      190
 1812.9  9649.0   2.76     4.5    1.28       250   23.2   6.8663e-02   23.2      160
 1921.3 10226.0   2.87     3.5    0.91        98   47.3   2.6993e-02   47.3      123
 1966.0 10463.7   2.91     3.7    1.29       247   21.6   6.7771e-02   21.6      102
 2017.6 10738.5   2.97     8.5    1.09       886    8.0   2.4340e-01    8.0       93
 2037.1 10842.3   2.71    13.8    1.20      2247    4.6   6.1731e-01    4.6       85
 2089.3 11120.0   3.04     3.5    1.34       618   11.3   1.6982e-01   11.3      121
 2115.5 11259.6   3.07     4.5    1.02       135   36.7   3.6966e-02   36.7      114
 2180.6 11605.8   3.13     4.3    1.01       224   23.5   6.1630e-02   23.5      117
 2233.4 11887.2   3.19     3.6    0.85       176   30.9   4.8289e-02   30.9      155
 2601.5 13846.1   3.03!   18.8    1.66      3779    3.4   1.0381e+00    3.4       50
 2693.9 14338.0   3.65     3.5    0.76       160   25.1   4.4085e-02   25.1       59
 2745.4 14611.9   3.70     3.6    1.02       353   14.3   9.6943e-02   14.3       63
 3013.2 16037.5   3.98     4.6    1.10       262   19.3   7.1903e-02   19.3       67

 ! indicates the Iterative Peak Width fitting reached a limiting value.
