
                       be used for evaluation purposes
12-Jul-2019 20:07
                       _______________________________

                       P E A K     F I T     R E P O R T
                       _______________________________

 Spectrum file Analysed: AJ02262019_Fe04_10cm_room131.Chn 
 Sample Title : Sr60-3_p40                                       

 Spectrum saved on 26-Feb-2019 at 22:07    Collected on 26-Feb-2019 at 12:01
 Sample  Taken  on 26-Feb-2019 at 12:01    Decayed      0 Days,     0 mins.

            Detector file number used:     1
            Energy     Calibration Performed on 12-Jul-2019 at 17:02
            Peak Shape Calibration Performed on 12-Jul-2019 at 17:38

 

   Datetime:  26-Feb-2019  12:01
   Live:       306.00 
   Mass:      
   Shelf:     
   Detector:      1


   Reported Activity values were rounded     
   FitzPeaks Version: 3.71 23rd January 2014           

 Peak   Centre   FW@HM         Goodness   Peak      %      Gammas       %      2 Sigma
Energy  Channel  (KeV)  Signif  of Fit    Area   Uncert.  per sec.   Uncert. Background

   72.7   387.3   1.04     8.2    1.01      1189   10.4   3.8867e+00   10.4     1200
   74.9   398.9   1.04    14.0    1.01      2171    6.7   7.0960e+00    6.7     1091
   84.8   451.6   1.00     6.2    1.20       878   12.6   2.8694e+00   12.6     1027
   87.3   465.1   1.01     3.4    1.20       247   35.2   8.0659e-01   35.2     1027
   91.9   489.5   1.01     3.7    1.20       424   22.5   1.3852e+00   22.5     1130
  122.1   650.3   1.08    13.2    1.21      2020    6.6   6.6007e+00    6.6     1101
  136.4   726.4   1.06     3.6    0.67       206   49.2   6.7278e-01   49.2     1098
  477.8  2543.1   1.44    14.1    1.08      2191    5.6   7.1612e+00    5.6      711
  511.5  2722.9   2.75    17.0    1.54     26171    1.3   8.5527e+01    1.3     1533
  744.8  3964.5   1.67     4.2    1.39       240   31.9   7.8377e-01   31.9      448
  804.2  4280.7   1.73     3.4    1.24       147   46.4   4.8097e-01   46.4      353
  835.8  4448.7   1.77     4.4    0.78       288   23.5   9.4248e-01   23.5      337
  847.7  4511.8   1.88    60.6    2.42     38912    1.0   1.2716e+02    1.0      348
  932.3  4962.1   2.00    19.7    1.11      4381    3.3   1.4318e+01    3.3      287
  936.5  4984.4   2.01     3.5    1.11       251   27.3   8.2112e-01   27.3      287
 1038.9  5529.8   2.00    10.1    1.06      1017    8.3   3.3239e+00    8.3      284
 1091.7  5810.5   2.03     3.3    1.14       114   54.1   3.7257e-01   54.1      271
 1176.2  6260.6   2.11     3.4    0.88       129   46.0   4.2123e-01   46.0      247
 1239.6  6597.8   2.21    19.0    0.97      4201    3.2   1.3728e+01    3.2      211
 1317.8  7014.2   2.26     5.0    1.01       391   15.9   1.2766e+00   15.9      198
 1361.9  7248.6   2.30     3.9    0.92       240   21.9   7.8302e-01   21.9      204
 1370.9  7296.5   2.31     3.8    0.92       195   27.8   6.3723e-01   27.8      194
 1410.0  7504.6   2.35     8.7    0.71       809    9.2   2.6429e+00    9.2      208
 1435.4  7639.7   2.37     4.0    1.06       205   29.4   6.6995e-01   29.4      210
 1773.1  9437.4   2.72     8.7    0.95       765    9.1   2.4991e+00    9.1      114
 1812.6  9647.7   2.59    19.9    1.42      4595    3.1   1.5015e+01    3.1      112
 2016.9 10734.8   2.97     3.4    1.03       125   28.7   4.0727e-01   28.7       50
 2036.7 10840.4   2.99     3.7    0.96       293   14.7   9.5622e-01   14.7       38
 2088.8 11117.7   3.04     3.4    0.94       102   30.3   3.3319e-01   30.3       36
 2115.4 11259.0   2.78    14.0    1.30      2206    4.2   7.2090e+00    4.2       26
 2525.9 13443.8   3.48     4.3    0.74       130   23.6   4.2555e-01   23.6       11
 2601.5 13846.1   3.56     7.1    1.20       612    9.1   1.9989e+00    9.1       -1
 2660.1 14158.3   3.62     3.7    0.61       105   27.2   3.4424e-01   27.2        8
 2962.9 15769.6   3.93     3.3    0.58        43   59.3   1.4009e-01   59.3       18
