
                       be used for evaluation purposes
13-Jul-2019 14:11
                       _______________________________

                       P E A K     F I T     R E P O R T
                       _______________________________

 Spectrum file Analysed: AG02262019_Ti-3_10cm_room131.Chn 
 Sample Title : Sr60-3_p40                                       

 Spectrum saved on 26-Feb-2019 at 21:38    Collected on 26-Feb-2019 at 11:26
 Sample  Taken  on 26-Feb-2019 at 11:26    Decayed      0 Days,     0 mins.

            Detector file number used:     1
            Energy     Calibration Performed on 12-Jul-2019 at 17:02
            Peak Shape Calibration Performed on 12-Jul-2019 at 17:38

 

   Datetime:  26-Feb-2019  11:26
   Live:       649.00 
   Mass:      
   Shelf:     
   Detector:      1


   Reported Activity values were rounded     
   FitzPeaks Version: 3.71 23rd January 2014           

 Peak   Centre   FW@HM         Goodness   Peak      %      Gammas       %      2 Sigma
Energy  Channel  (KeV)  Signif  of Fit    Area   Uncert.  per sec.   Uncert. Background

   40.7   217.1   0.96     4.1    0.68       534   46.4   8.2277e-01   46.4     5323
   72.7   387.3   1.04    22.1    0.62      7423    4.4   1.1438e+01    4.4     7032
   74.9   398.8   1.04    33.5    0.62     13539    2.6   2.0862e+01    2.6     6393
   84.7   451.4   1.15!   15.2    0.81      5990    4.9   9.2303e+00    4.9     6411
   87.3   464.8   1.16!    6.5    0.81      1748   15.3   2.6939e+00   15.3     6411
  159.5   849.1   1.13    49.0    1.02     26466    1.6   4.0779e+01    1.6     7057
  175.5   934.2   1.18    11.3    1.00      3863    8.6   5.9525e+00    8.6    10046
  271.5  1445.4   1.32    24.0    1.03     10000    3.6   1.5409e+01    3.6     7724
  373.2  1986.4   1.38    27.7    0.87     10160    2.9   1.5655e+01    2.9     4075
  508.2  2704.9   1.33     7.5    3.91      2447   11.7   3.7701e+00   11.7     2462
  511.5  2722.7   2.77    66.5    3.91    389684    0.4   6.0044e+02    0.4     4925
  514.7  2739.6   1.34     5.0    3.91      2290   11.8   3.5278e+00   11.8     2462
  597.3  3179.1   1.52     3.3    0.97       225   59.1   3.4635e-01   59.1     1589
  890.2  4738.2   1.82     6.3    1.03       853   17.1   1.3138e+00   17.1     1560
  929.1  4945.2   1.86     3.5    0.97       286   48.3   4.4074e-01   48.3     1600
  945.1  5030.5   1.98    16.5    1.21      4047    4.7   6.2360e+00    4.7     1602
  984.5  5240.1   2.07    74.3    2.13     59667    0.9   9.1936e+01    0.9     1423
 1038.6  5527.8   2.09    29.7    1.20     10266    2.4   1.5819e+01    2.4     1377
 1121.7  5970.1   2.06     5.6    1.04       747   16.1   1.1513e+00   16.1      938
 1158.1  6164.3   2.21    48.0    1.54     26108    1.4   4.0227e+01    1.4      755
 1214.1  6462.3   2.15     4.9    1.02       181   41.0   2.7906e-01   41.0      371
 1313.4  6990.6   2.39    64.4    2.46     46574    0.9   7.1763e+01    0.9      208
 1495.7  7961.0   2.44     3.7    0.77       332   16.2   5.1096e-01   16.2      128
 1501.3  7990.4   2.44     3.3    0.77       181   26.4   2.7863e-01   26.4      128
 1526.3  8123.6   2.47     3.6    1.50       238   20.9   3.6740e-01   20.9       97
 1669.4  8885.3   2.61     3.4    1.22       264   18.1   4.0700e-01   18.1       83
 1824.8  9712.4   2.77     4.7    0.84       245   16.1   3.7818e-01   16.1       49
 2242.9 11937.8   3.20     7.5    0.96       589    9.1   9.0679e-01    9.1        5
 2297.8 12229.6   3.25     3.7    0.83       172   19.0   2.6539e-01   19.0       11

 ! indicates the Iterative Peak Width fitting reached a limiting value.
