
                       be used for evaluation purposes
13-Jul-2019 14:14
                       _______________________________

                       P E A K     F I T     R E P O R T
                       _______________________________

 Spectrum file Analysed: AL02282019_Ti-1_10cm_room131.Chn 
 Sample Title : Ti1-L, p-10                                      

 Spectrum saved on 28-Feb-2019 at 13:38    Collected on 28-Feb-2019 at  2:30
 Sample  Taken  on 28-Feb-2019 at  2:30    Decayed      0 Days,     0 mins.

            Detector file number used:     1
            Energy     Calibration Performed on 12-Jul-2019 at 17:02
            Peak Shape Calibration Performed on 12-Jul-2019 at 17:38

 

   Datetime:  28-Feb-2019   2:30
   Live:      3603.00 
   Mass:      
   Shelf:     
   Detector:      1


   Reported Activity values were rounded     
   FitzPeaks Version: 3.71 23rd January 2014           

 Peak   Centre   FW@HM         Goodness   Peak      %      Gammas       %      2 Sigma
Energy  Channel  (KeV)  Signif  of Fit    Area   Uncert.  per sec.   Uncert. Background

   72.7   387.1   1.05    78.2    5.61     88625    2.8   2.4598e+01    2.8    75844
   74.9   398.7   1.05   112.8    5.61    162696    1.6   4.5156e+01    1.6    83429
   84.7   451.1   1.15!   49.3    3.13     67809    3.1   1.8820e+01    3.1    74429
   87.3   464.9   1.16!   23.0    3.13     18375   10.5   5.1000e+00   10.5    74429
  159.4   848.8   1.13   337.0    3.49   1207053    0.2   3.3501e+02    0.2    62742
  160.4   854.0   1.13    13.2    3.49     75347    2.4   2.0912e+01    2.4    68445
  175.5   934.2   1.20    54.3    2.11     56619    4.7   1.5714e+01    4.7    80161
  271.5  1445.1   1.27   259.2    2.78    733055    0.4   2.0346e+02    0.4    55612
  272.4  1450.3   1.27     9.4    2.78     46012    3.3   1.2771e+01    3.3    55612
  373.1  1986.2   1.30     6.3    1.43      3483   17.4   9.6667e-01   17.4    32651
  508.5  2706.9   1.35    10.1    6.13     12469   26.1   3.4607e+00   26.1    40707
  511.5  2722.8   2.79   154.2    6.13   2346265    0.4   6.5120e+02    0.4    75599
  514.5  2738.5   1.35    11.0    6.13     16383   20.0   4.5471e+00   20.0    37799
  618.2  3290.3   1.54     3.9    1.00      1875   24.2   5.2029e-01   24.2    19370
  802.4  4271.0   1.73     3.5    0.99      1187   43.2   3.2934e-01   43.2    22242
  890.2  4738.1   1.99    36.8    1.27     24389    2.4   6.7691e+00    2.4    18927
  929.3  4946.0   1.86     8.9    0.94      3636   12.8   1.0091e+00   12.8    18056
  945.1  5030.4   2.08    48.5    1.03     38441    1.7   1.0669e+01    1.7    19188
  984.5  5240.2   2.14   235.6   12.73    647656    0.4   1.7975e+02    0.4    17314
 1002.9  5338.0   1.94     9.5    0.98      3956   11.2   1.0980e+00   11.2    15174
 1038.6  5527.9   2.17   112.1    2.81    166143    0.7   4.6112e+01    0.7    16401
 1121.7  5970.4   2.23    35.0    1.16     20820    2.2   5.7786e+00    2.2    10893
 1127.3  6000.0   2.24     9.9    1.16      3919   10.1   1.0876e+00   10.1    11411
 1158.2  6164.3   2.32   147.6    6.70    279117    0.6   7.7468e+01    0.6     9182
 1214.1  6462.2   2.16    13.2    0.91      3391    7.6   9.4108e-01    7.6     4255
 1298.4  6910.8   2.24     5.5    0.83       940   21.7   2.6097e-01   21.7     3019
 1313.4  6990.7   2.43   208.2   15.46    508188    0.3   1.4105e+02    0.3     3328
 1435.7  7641.2   2.37     3.6    1.24       403   39.3   1.1189e-01   39.3     1740
 1439.2  7659.9   2.38     3.5    1.24       459   33.9   1.2727e-01   33.9     1740
 1495.8  7961.3   2.80!    6.6    1.46      3154    6.5   8.7548e-01    6.5     1779
 1501.1  7989.3   2.81!   10.0    1.46      2285    8.3   6.3426e-01    8.3     1779
 1526.3  8123.7   2.44    14.8    1.29      3172    5.7   8.8036e-01    5.7     1359
 1669.6  8886.1   2.98    11.7    1.65      4067    4.8   1.1287e+00    4.8     1049
 1730.5  9210.3   2.67     3.7    1.27       298   38.2   8.2736e-02   38.2      796
 1824.8  9712.5   2.77     9.9    1.37      2571    5.9   7.1348e-01    5.9      778
 1929.6 10270.2   2.88     3.4    0.94       179   53.6   4.9581e-02   53.6      626
 2022.9 10766.9   2.97     6.9    0.86       672   15.0   1.8658e-01   15.0      563
 2242.9 11937.4   2.89    20.7    1.70      5579    3.1   1.5484e+00    3.1      163
 2258.1 12018.3   2.90     3.7    1.70       149   36.0   4.1463e-02   36.0      163
 2297.7 12229.3   2.76!   14.2    1.32      1881    5.6   5.2212e-01    5.6      143
 2351.7 12516.9   3.31     7.1    1.03       533   11.9   1.4797e-01   11.9      120
 2659.5 14155.2   3.62     4.0    0.83       192   19.8   5.3397e-02   19.8       33

 ! indicates the Iterative Peak Width fitting reached a limiting value.
