
                       be used for evaluation purposes
13-Jul-2019 14:19
                       _______________________________

                       P E A K     F I T     R E P O R T
                       _______________________________

 Spectrum file Analysed: AL02282019_Ti-3_10cm_room131.Chn 
 Sample Title : Ti3-L, p-10                                      

 Spectrum saved on 28-Feb-2019 at 15:48    Collected on 28-Feb-2019 at  4:44
 Sample  Taken  on 28-Feb-2019 at  4:44    Decayed      0 Days,     0 mins.

            Detector file number used:     1
            Energy     Calibration Performed on 12-Jul-2019 at 17:02
            Peak Shape Calibration Performed on 12-Jul-2019 at 17:38

 

   Datetime:  28-Feb-2019   4:44
   Live:      3659.00 
   Mass:      
   Shelf:     
   Detector:      1


   Reported Activity values were rounded     
   FitzPeaks Version: 3.71 23rd January 2014           

 Peak   Centre   FW@HM         Goodness   Peak      %      Gammas       %      2 Sigma
Energy  Channel  (KeV)  Signif  of Fit    Area   Uncert.  per sec.   Uncert. Background

   72.8   387.5   0.97    36.5    0.69     16815    4.9   4.5954e+00    4.9    13586
   74.9   399.0   0.97    56.6    0.69     30943    2.7   8.4567e+00    2.7    15096
   84.8   451.4   1.15!   24.4    0.75     14468    3.1   3.9541e+00    3.1    13501
   87.3   465.2   1.16!    9.3    0.75      4430    9.4   1.2106e+00    9.4    14728
  159.5   849.3   1.08   107.6    2.08    103804    0.8   2.8369e+01    0.8    14619
  175.5   934.5   1.13    23.4    1.19     10750    4.8   2.9381e+00    4.8    17736
  271.6  1445.7   1.23    55.6    1.21     34614    1.6   9.4599e+00    1.6    14582
  508.8  2708.5   1.26     7.7    6.12      2856   55.4   7.8046e-01   55.4    13108
  511.6  2723.1   2.70    86.7    6.12    592769    0.7   1.6200e+02    0.7    26217
  890.2  4738.4   1.92    18.0    0.74      5541    4.8   1.5144e+00    4.8     4445
  929.3  4946.4   1.86     9.9    0.86      1990   11.6   5.4378e-01   11.6     3818
  945.2  5030.8   1.95    43.9    1.41     20991    1.9   5.7368e+00    1.9     4236
  984.6  5240.5   2.03   162.5    7.90    286835    0.5   7.8392e+01    0.5     4183
 1038.6  5528.2   2.10    47.1    1.68     30724    1.5   8.3969e+00    1.5     5290
 1121.8  5970.7   2.11    17.1    0.92      4535    5.6   1.2393e+00    5.6     3630
 1158.2  6164.7   2.20    32.2    1.27     12786    2.4   3.4944e+00    2.4     2768
 1214.1  6462.2   2.15     6.1    0.98       626   20.5   1.7110e-01   20.5     1086
 1313.5  6991.0   2.36   145.2    9.53    223805    0.7   6.1166e+01    0.7      360
 1438.9  7658.6   2.38     3.4    1.02       199   34.3   5.4324e-02   34.3      315
 1496.0  7962.3   2.44     8.0    1.66      1573    7.5   4.2980e-01    7.5      365
 1527.0  8127.3   2.47     3.5    0.70       193   32.3   5.2699e-02   32.3      252
 1669.1  8883.6   2.61     3.4    1.09       192   32.0   5.2427e-02   32.0      196
 1731.1  9213.5   2.67     3.5    1.30       226   26.2   6.1877e-02   26.2      152
 1824.9  9712.9   2.77     9.0    1.31      1357    6.7   3.7090e-01    6.7      178
 1929.1 10267.5   2.88     3.7    1.06       151   32.9   4.1191e-02   32.9      126
 2023.0 10767.2   2.97     4.6    1.06       121   42.5   3.3042e-02   42.5      148
 2242.8 11937.3   2.72!   18.3    1.17      2940    3.5   8.0350e-01    3.5       12
 2258.1 12018.5   2.73!    4.6    1.17        74   32.2   2.0168e-02   32.2       12
 2297.9 12230.5   3.25     9.8    1.69       706    8.8   1.9303e-01    8.8       -1
 2351.4 12515.3   3.31     3.6    0.74       101   27.7   2.7576e-02   27.7       12

 ! indicates the Iterative Peak Width fitting reached a limiting value.
